,Room_type
1773,Not mentioned
1774,Not mentioned
1775,Not mentioned
1776,Private room
1777,Entire home/apt
1778,Not mentioned
1779,Not mentioned
1780,Not mentioned
1781,Not mentioned
1782,Not mentioned
1783,Not mentioned
1784,Not mentioned
1785,Entire home/apt
1786,Not mentioned
1787,Not mentioned
1789,Private room
1790,Shared room
1791,Entire home/apt
1793,Private room
1794,Entire home/apt
1796,Entire home/apt
1797,Entire home/apt
1799,Entire home/apt
1800,Not mentioned
1801,Not mentioned
1802,Not mentioned
1804,Entire home/apt
1805,Entire home/apt
1806,Private room
1807,Entire home/apt
1808,Shared room
1810,Entire home/apt
1811,Private room
1812,Not mentioned
1813,Not mentioned
1814,Not mentioned
1815,Not mentioned
1816,Not mentioned
1817,Private room
1819,Private room
1820,Private room
1821,Shared room
1822,Not mentioned
1823,Not mentioned
1824,Private room
1825,Private room
1826,Private room
1827,Not mentioned
1828,Not mentioned
1829,Not mentioned
1831,Entire home/apt
1832,Private room
1833,Private room
1834,Shared room
1835,Shared room
1836,Not mentioned
1837,Not mentioned
1839,Entire home/apt
1841,Entire home/apt
1842,Not mentioned
1844,Private room
1845,Not mentioned
1846,Entire home/apt
1847,Not mentioned
1848,Not mentioned
1850,Private room
1851,Not mentioned
1852,Not mentioned
1853,Not mentioned
1854,Not mentioned
1855,Not mentioned
1857,Entire home/apt
1858,Entire home/apt
1859,Private room
1860,Entire home/apt
1861,Private room
1862,Entire home/apt
1863,Entire home/apt
1864,Private room
1865,Not mentioned
1867,Entire home/apt
1869,Entire home/apt
