,Neighbourhhood
1866,City Centre
1867,Temple Bar
1868,
1869,City Centre
1870,Temple Bar
1871,Ballsbridge
1872,
1873,Ballsbridge
1874,
1875,City Centre
1876,
1877,City Centre
1878,Old City
1879,
1880,City Centre
1881,City Centre
1882,Temple Bar
1883,
1884,City Centre
1885,
1886,City Centre
1887,
1888,City Centre
1889,
1890,Ballsbridge
1891,Blackrock
1892,Booterstown
1893,Donnybrook
1894,Monkstown
1895,Sandymount
1896,
1897,City Centre
1898,
1899,City Centre
1900,City Centre
1901,North City Central/O'Connell Street
1902,Ranelagh and Rathmines
1903,
1904,City Centre
1905,
1906,Dundrum
1907,
1908,City Centre
1909,
1910,City Centre
1911,Inchicore
1912,Old City
1913,
1914,City Centre
1915,
1916,City Centre
1917,
1918,City Centre
1919,
1920,Temple Bar
1921,
1922,City Centre
1923,City Centre
1924,
1925,City Centre
1926,
1927,City Centre
1928,Old City
1929,
1930,City Centre
1931,Temple Bar
1932,
1933,City Centre
1934,
1935,City Centre
1936,
1937,City Centre
1938,
1939,City Centre
1940,North City Central/O'Connell Street
1941,
1942,City Centre
1943,Drumcondra
1944,City Centre
1945,Phibsborough
1946,
1947,City Centre
1948,
1949,City Centre
1950,
1951,City Centre
1952,
1953,City Centre
1954,
1955,City Centre
1956,Docklands
1957,
1958,City Centre
1959,
1960,City Centre
1961,Old City
1962,Temple Bar
